Region,Country
Aargau,Switzerland
Abkhazeti,Georgia
Abona,Spain
Abruzzo,Italy
Achaia,Greece
Achkarren,Germany
Aconcagua,Chile
Aconcagua Costa,Chile
Aconcagua Valley,Chile
Adelaide Hills,Australia
Adelaide Plains,Australia
Aegean,Turkey
Aegean Sea,Greece
Afips River Valley (Долина реки Афипс),Russia
Aglianico del Vulture,Italy
Agrelo,Argentina
Aguascalientes,Mexico
Ahr,Germany
Ahrweiler,Germany
Aigle,Switzerland
Ajaccio,France
Albana di Romagna,Italy
Alcamo,Italy
Alella,Spain
Alenquer,Portugal
Alentejano,Portugal
Alentejo,Portugal
Alexander Valley,United States
Algarve,Portugal
Alghero,Italy
Alicante,Spain
Almansa,Spain
Aloxe-Corton,France
Aloxe-Corton 1er Cru 'Clos du Chapître',France
Aloxe-Corton 1er Cru 'Les Chaillots',France
Aloxe-Corton 1er Cru 'Les Fournières',France
Aloxe-Corton 1er Cru 'Les Valozières',France
Aloxe-Corton Premier Cru,France
Alpes-de-Haute-Provence,France
Alpi Retiche,Italy
Alpilles,France
Alpine Valleys,Australia
Alsace,France
Alsace Grand Cru,France
Alsace Grand Cru 'Altenberg de Bergbieten',France
Alsace Grand Cru 'Altenberg de Bergheim',France
Alsace Grand Cru 'Brand',France
Alsace Grand Cru 'Eichberg',France
Alsace Grand Cru 'Engelberg',France
Alsace Grand Cru 'Florimont',France
Alsace Grand Cru 'Frankstein',France
Alsace Grand Cru 'Froehn',France
Alsace Grand Cru 'Furstentum',France
Alsace Grand Cru 'Goldert',France
Alsace Grand Cru 'Hatschbourg',France
Alsace Grand Cru 'Hengst',France
Alsace Grand Cru 'Kaefferkopf',France
Alsace Grand Cru 'Kanzlerberg',France
Alsace Grand Cru 'Kirchberg de Barr',France
Alsace Grand Cru 'Kirchberg de Ribeauville',France
Alsace Grand Cru 'Kitterle',France
Alsace Grand Cru 'Mambourg',France
Alsace Grand Cru 'Mandelberg',France
Alsace Grand Cru 'Marckrain',France
Alsace Grand Cru 'Moenchberg',France
Alsace Grand Cru 'Ollwiller',France
